id,parent_song,start,end,global_index,wav_path
S01_22,SSvid.net--Taylor-Swift-Blank-Space,58.212426303854876,60.720181405895694,22,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_22.wav
S01_23,SSvid.net--Taylor-Swift-Blank-Space,60.720181405895694,63.20471655328798,23,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_23.wav
S01_24,SSvid.net--Taylor-Swift-Blank-Space,63.20471655328798,65.7124716553288,24,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_24.wav
S01_25,SSvid.net--Taylor-Swift-Blank-Space,65.7124716553288,68.19700680272109,25,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_25.wav
S01_26,SSvid.net--Taylor-Swift-Blank-Space,68.19700680272109,70.70476190476191,26,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_26.wav
S01_27,SSvid.net--Taylor-Swift-Blank-Space,70.70476190476191,73.21251700680273,27,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_27.wav
S01_28,SSvid.net--Taylor-Swift-Blank-Space,73.21251700680273,75.697052154195,28,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_28.wav
S01_29,SSvid.net--Taylor-Swift-Blank-Space,75.697052154195,78.1815873015873,29,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_29.wav
S01_30,SSvid.net--Taylor-Swift-Blank-Space,78.1815873015873,80.73578231292517,30,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_30.wav
S01_31,SSvid.net--Taylor-Swift-Blank-Space,80.73578231292517,83.19709750566894,31,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_31.wav
S02_00,SSvid.net--Taylor-Swift-You-Belong-With-Me,0.9520181405895691,2.809614512471655,32,database/audio_segments/SSvid.net--Taylor-Swift-You-Belong-With-Me_bar_00.wav
S02_01,SSvid.net--Taylor-Swift-You-Belong-With-Me,2.809614512471655,4.6439909297052155,33,database/audio_segments/SSvid.net--Taylor-Swift-You-Belong-With-Me_bar_01.wav
S02_02,SSvid.net--Taylor-Swift-You-Belong-With-Me,4.6439909297052155,6.501587301587302,34,database/audio_segments/SSvid.net--Taylor-Swift-You-Belong-With-Me_bar_02.wav
S02_03,SSvid.net--Taylor-Swift-You-Belong-With-Me,6.501587301587302,8.335963718820862,35,database/audio_segments/SSvid.net--Taylor-Swift-You-Belong-With-Me_bar_03.wav
S02_04,SSvid.net--Taylor-Swift-You-Belong-With-Me,8.335963718820862,10.170340136054422,36,database/audio_segments/SSvid.net--Taylor-Swift-You-Belong-With-Me_bar_04.wav
